seconds,minutes,temperature,log,real_k
2330,38.8333333333333,46.437,3.154,0.0306306296570974
2331,38.85,46.437,3.154,0.0306174891038339
2332,38.8666666666667,46.437,3.154,0.0306043598203417
2333,38.8833333333333,46.437,3.154,0.030591241792129
2334,38.9,46.375,3.152,0.0306462299917464
2335,38.9166666666667,46.437,3.154,0.0305650394436988
2336,38.9333333333333,46.375,3.152,0.030619991781137
2337,38.95,46.437,3.154,0.0305388819431052
2338,38.9666666666667,46.375,3.152,0.0305937984605372
2339,38.9833333333333,46.375,3.152,0.030580718598006
2340,39,46.375,3.152,0.0305676499148444
2341,39.0166666666667,46.375,3.152,0.0305545923967262
2342,39.0333333333333,46.375,3.152,0.0305415460293493
2343,39.05,46.375,3.152,0.0305285107984362
2344,39.0666666666667,46.375,3.152,0.0305154866897338
2345,39.0833333333333,46.375,3.152,0.0305024736890132
2346,39.1,46.312,3.149,0.0305584954578219
2347,39.1166666666667,46.312,3.149,0.0305454752211547
2348,39.1333333333333,46.312,3.149,0.0305324660749788
2349,39.15,46.312,3.149,0.0305194680051299
2350,39.1666666666667,46.312,3.149,0.0305064809974681
2351,39.1833333333333,46.312,3.149,0.0304935050378776
2352,39.2,46.312,3.149,0.0304805401122662
2353,39.2166666666667,46.25,3.15,0.030535494003068
2354,39.2333333333333,46.25,3.15,0.0305225222554032
2355,39.25,46.25,3.15,0.0305095615240845
2356,39.2666666666667,46.25,3.15,0.0304966117950845
2357,39.2833333333333,46.25,3.15,0.0304836730543993
2358,39.3,46.25,3.15,0.0304707452880488
2359,39.3166666666667,46.25,3.15,0.0304578284820767
2360,39.3333333333333,46.187,3.144,0.0305139062303604
2361,39.35,46.187,3.144,0.0305009820854089
2362,39.3666666666667,46.187,3.144,0.0304880688838486
2363,39.3833333333333,46.187,3.144,0.0304751666117861
2364,39.4,46.187,3.144,0.0304622752553513
2365,39.4166666666667,46.187,3.144,0.0304493948006978
2366,39.4333333333333,46.187,3.144,0.0304365252340027
2367,39.45,46.187,3.144,0.0304236665414662
2368,39.4666666666667,46.187,3.144,0.0304108187093118
2369,39.4833333333333,46.125,3.141,0.0304657949798699
2370,39.5,46.187,3.144,0.0303851555711605
2371,39.5166666666667,46.125,3.141,0.0304400962915697
2372,39.5333333333333,46.125,3.141,0.030427263198698
2373,39.55,46.125,3.141,0.0304144409217496
2374,39.5666666666667,46.125,3.141,0.0304016294470563
2375,39.5833333333333,46.125,3.141,0.0303888287609734
2376,39.6,46.125,3.141,0.0303760388498787
2377,39.6166666666667,46.125,3.141,0.0303632597001732
2378,39.6333333333333,46.125,3.141,0.0303504912982808
2379,39.65,46.062,3.138,0.0304065367088212
2380,39.6666666666667,46.062,3.138,0.0303937608530611
2381,39.6833333333333,46.062,3.138,0.0303809957288054
2382,39.7,46.062,3.138,0.030368241322538
2383,39.7166666666667,46.062,3.138,0.0303554976207661
2384,39.7333333333333,46.062,3.138,0.0303427646100191
2385,39.75,46.0,3.1,0.0303977661867807
